ID	Cluster	Class	Gene
537__oqxB__NG_048025.1__1	0	MULTIDRUG	oqxB
537__oqxB__NG_050438.1__2	0	MULTIDRUG	oqxB
537__oqxB__NG_050439.1__3	0	MULTIDRUG	oqxB
537__oqxB__NG_050448.1__4	0	MULTIDRUG	oqxB
537__oqxB__NG_050449.1__5	0	MULTIDRUG	oqxB
537__oqxB__NG_050428.1__6	0	MULTIDRUG	oqxB
537__oqxB__NG_050429.1__7	0	MULTIDRUG	oqxB
537__oqxB__NG_050430.1__8	0	MULTIDRUG	oqxB
537__oqxB__NG_050431.1__9	0	MULTIDRUG	oqxB
537__oqxB__NG_050432.1__10	0	MULTIDRUG	oqxB
537__oqxB__NG_050433.1__11	0	MULTIDRUG	oqxB
537__oqxB__NG_050434.1__12	0	MULTIDRUG	oqxB
537__oqxB__NG_050435.1__13	0	MULTIDRUG	oqxB
537__oqxB__NG_050436.1__14	0	MULTIDRUG	oqxB
537__oqxB__NG_050437.1__15	0	MULTIDRUG	oqxB
537__oqxB__NG_050440.1__16	0	MULTIDRUG	oqxB
537__oqxB__NG_050441.1__17	0	MULTIDRUG	oqxB
537__oqxB__NG_050442.1__18	0	MULTIDRUG	oqxB
537__oqxB__NG_050443.1__19	0	MULTIDRUG	oqxB
537__oqxB__NG_050444.1__20	0	MULTIDRUG	oqxB
537__oqxB__NG_050445.1__21	0	MULTIDRUG	oqxB
537__oqxB__NG_050446.1__22	0	MULTIDRUG	oqxB
537__oqxB__NG_050447.1__23	0	MULTIDRUG	oqxB
537__oqxB__NG_050450.1__24	0	MULTIDRUG	oqxB
537__oqxB__NG_050451.1__25	0	MULTIDRUG	oqxB
537__oqxB__NG_050452.1__26	0	MULTIDRUG	oqxB
537__oqxB__NG_050453.1__27	0	MULTIDRUG	oqxB
537__oqxB__NG_050454.1__28	0	MULTIDRUG	oqxB
537__oqxB__NG_050455.1__29	0	MULTIDRUG	oqxB
537__oqxB__NG_050456.1__30	0	MULTIDRUG	oqxB
537__oqxB__NG_050457.1__31	0	MULTIDRUG	oqxB
537__oqxB__NG_050458.1__32	0	MULTIDRUG	oqxB
132__mupA__NG_048008.1__1	1	MUPIROCIN	mupA
262__mupB__NG_048009.1__1	2	MUPIROCIN	mupB
452__rph__NG_048066.1__1	3	RIFAMYCIN	rph
480__vanT__NG_052046.1__1	4	GLYCOPEPTIDE	vanT
480__vanT__NG_048455.1__4	5	GLYCOPEPTIDE	vanT
480__vanT__NG_048457.1__6	5	GLYCOPEPTIDE	vanT
164__vanTc__NG_048462.1__1	6	GLYCOPEPTIDE	vanT
164__vanTc__NG_048463.1__2	6	GLYCOPEPTIDE	vanT
480__vanT__NG_048459.1__2	6	GLYCOPEPTIDE	vanT
480__vanT__NG_048460.1__3	6	GLYCOPEPTIDE	vanT
480__vanT__NG_048456.1__5	7	GLYCOPEPTIDE	vanT
480__vanT__NG_048461.1__7	8	GLYCOPEPTIDE	vanT
480__vanT__NG_048454.1__8	9	GLYCOPEPTIDE	vanT
480__vanT__NG_048458.1__9	9	GLYCOPEPTIDE	vanT
217__mecB__NG_047953.1__1	10	BETA-LACTAM	mecB
217__mecB__NG_047954.1__2	10	BETA-LACTAM	mecB
528__mecA__NG_047937.1__1	11	BETA-LACTAM	mecA
528__mecA__NG_047939.1__2	11	BETA-LACTAM	mecA
528__mecA__NG_047943.1__4	11	BETA-LACTAM	mecA
528__mecA__NG_047944.1__5	11	BETA-LACTAM	mecA
528__mecA__NG_047945.1__6	11	BETA-LACTAM	mecA
528__mecA__NG_047946.1__7	11	BETA-LACTAM	mecA
528__mecA__NG_047947.1__8	11	BETA-LACTAM	mecA
528__mecA__NG_047948.1__9	11	BETA-LACTAM	mecA
528__mecA__NG_047942.1__10	11	BETA-LACTAM	mecA
528__mecA__NG_047938.1__11	11	BETA-LACTAM	mecA
528__mecA__NG_047936.1__12	11	BETA-LACTAM	mecA
528__mecA__NG_047941.1__13	11	BETA-LACTAM	mecA
19__mecA2__NG_047951.1__1	12	BETA-LACTAM	mecA
19__mecA2__NG_047952.1__2	12	BETA-LACTAM	mecA
528__mecA__NG_047940.1__3	12	BETA-LACTAM	mecA
75__mecA1__NG_047950.1__1	13	BETA-LACTAM	mecA1
75__mecA1__NG_047949.1__2	13	BETA-LACTAM	mecA1
276__mecC__NG_047955.1__1	14	BETA-LACTAM	mecC
191__otrA__NG_048026.1__2	15	TETRACYCLINE	otrA
235__optrA__NG_048023.1__1	16	PHENICOL/OXAZOLIDINONE	optrA
82__tetBP__NG_048319.1__1	17	TETRACYCLINE	tetBP
224__tetT__NG_048279.1__1	18	TETRACYCLINE	tetT
224__tetT__NG_048278.1__2	18	TETRACYCLINE	tetT
127__tetQ__NG_048269.1__1	19	TETRACYCLINE	tetQ
127__tetQ__NG_048268.1__2	19	TETRACYCLINE	tetQ
127__tetQ__NG_048272.1__3	19	TETRACYCLINE	tetQ
127__tetQ__NG_048271.1__4	19	TETRACYCLINE	tetQ
127__tetQ__NG_048270.1__5	19	TETRACYCLINE	tetQ
450__tetS__NG_048277.1__1	20	TETRACYCLINE	tetS
450__tetS__NG_048274.1__2	20	TETRACYCLINE	tetS
450__tetS__NG_048273.1__3	20	TETRACYCLINE	tetS
450__tetS__NG_048275.1__4	20	TETRACYCLINE	tetS
450__tetS__NG_048276.1__5	20	TETRACYCLINE	tetS
322__tet44__NG_048146.1__1	21	TETRACYCLINE	tet44
322__tet44__NG_048145.1__2	21	TETRACYCLINE	tet44
325__tet36__NG_048131.1__1	22	TETRACYCLINE	tet36
347__tetW__NG_048300.1__1	23	TETRACYCLINE	tetW
347__tetW__NG_048301.1__2	23	TETRACYCLINE	tetW
347__tetW__NG_048288.1__3	23	TETRACYCLINE	tetW
347__tetW__NG_048298.1__4	23	TETRACYCLINE	tetW
347__tetW__NG_048299.1__5	23	TETRACYCLINE	tetW
347__tetW__NG_048290.1__6	23	TETRACYCLINE	tetW
347__tetW__NG_048282.1__7	23	TETRACYCLINE	tetW
347__tetW__NG_048281.1__8	23	TETRACYCLINE	tetW
347__tetW__NG_048297.1__9	23	TETRACYCLINE	tetW
347__tetW__NG_048296.1__11	23	TETRACYCLINE	tetW
347__tetW__NG_048286.1__13	23	TETRACYCLINE	tetW
347__tetW__NG_048287.1__14	23	TETRACYCLINE	tetW
347__tetW__NG_048283.1__15	23	TETRACYCLINE	tetW
347__tetW__NG_048295.1__16	23	TETRACYCLINE	tetW
347__tetW__NG_048289.1__17	23	TETRACYCLINE	tetW
347__tetW__NG_048303.1__18	23	TETRACYCLINE	tetW
347__tetW__NG_048291.1__20	23	TETRACYCLINE	tetW
347__tetW__NG_048302.1__23	23	TETRACYCLINE	tetW
201__tetM__NG_048237.1__1	24	TETRACYCLINE	tetM
201__tetM__NG_048223.1__2	24	TETRACYCLINE	tetM
201__tetM__NG_048238.1__3	24	TETRACYCLINE	tetM
201__tetM__NG_048239.1__4	24	TETRACYCLINE	tetM
201__tetM__NG_048240.1__5	24	TETRACYCLINE	tetM
201__tetM__NG_048243.1__6	24	TETRACYCLINE	tetM
201__tetM__NG_048220.1__7	24	TETRACYCLINE	tetM
201__tetM__NG_048221.1__8	24	TETRACYCLINE	tetM
201__tetM__NG_048211.1__9	24	TETRACYCLINE	tetM
201__tetM__NG_048212.1__10	24	TETRACYCLINE	tetM
201__tetM__NG_048213.1__11	24	TETRACYCLINE	tetM
201__tetM__NG_048232.1__12	24	TETRACYCLINE	tetM
201__tetM__NG_048234.1__13	24	TETRACYCLINE	tetM
201__tetM__NG_048235.1__14	24	TETRACYCLINE	tetM
201__tetM__NG_048231.1__15	24	TETRACYCLINE	tetM
201__tetM__NG_048233.1__16	24	TETRACYCLINE	tetM
201__tetM__NG_048236.1__17	24	TETRACYCLINE	tetM
201__tetM__NG_048222.1__18	24	TETRACYCLINE	tetM
201__tetM__NG_048241.1__19	24	TETRACYCLINE	tetM
201__tetM__NG_048218.1__20	24	TETRACYCLINE	tetM
201__tetM__NG_048219.1__21	24	TETRACYCLINE	tetM
201__tetM__NG_048248.1__22	24	TETRACYCLINE	tetM
201__tetM__NG_048225.1__23	24	TETRACYCLINE	tetM
201__tetM__NG_048215.1__24	24	TETRACYCLINE	tetM
201__tetM__NG_048214.1__25	24	TETRACYCLINE	tetM
201__tetM__NG_048249.1__26	24	TETRACYCLINE	tetM
201__tetM__NG_048252.1__27	24	TETRACYCLINE	tetM
201__tetM__NG_048230.1__28	24	TETRACYCLINE	tetM
201__tetM__NG_048227.1__29	24	TETRACYCLINE	tetM
201__tetM__NG_048228.1__30	24	TETRACYCLINE	tetM
201__tetM__NG_048226.1__31	24	TETRACYCLINE	tetM
201__tetM__NG_048250.1__32	24	TETRACYCLINE	tetM
201__tetM__NG_048217.1__33	24	TETRACYCLINE	tetM
201__tetM__NG_048229.1__34	24	TETRACYCLINE	tetM
201__tetM__NG_048246.1__35	24	TETRACYCLINE	tetM
201__tetM__NG_048251.1__36	24	TETRACYCLINE	tetM
201__tetM__NG_048253.1__37	24	TETRACYCLINE	tetM
201__tetM__NG_048245.1__38	24	TETRACYCLINE	tetM
201__tetM__NG_048244.1__39	24	TETRACYCLINE	tetM
201__tetM__NG_048247.1__40	24	TETRACYCLINE	tetM
201__tetM__NG_048216.1__41	24	TETRACYCLINE	tetM
201__tetM__NG_048242.1__42	24	TETRACYCLINE	tetM
347__tetW__NG_048284.1__19	25	TETRACYCLINE	tetW
429__tet32__NG_048124.1__1	26	TETRACYCLINE	tet32
429__tet32__NG_048126.1__2	27	TETRACYCLINE	tet32
429__tet32__NG_048125.1__3	27	TETRACYCLINE	tet32
557__tetO__NG_048264.1__1	28	TETRACYCLINE	tetO
557__tetO__NG_048259.1__2	28	TETRACYCLINE	tetO
557__tetO__NG_048256.1__3	28	TETRACYCLINE	tetO
557__tetO__NG_048257.1__4	28	TETRACYCLINE	tetO
557__tetO__NG_048263.1__5	28	TETRACYCLINE	tetO
557__tetO__NG_048260.1__6	28	TETRACYCLINE	tetO
557__tetO__NG_048262.1__7	28	TETRACYCLINE	tetO
557__tetO__NG_048258.1__8	28	TETRACYCLINE	tetO
557__tetO__NG_048254.1__9	28	TETRACYCLINE	tetO
557__tetO__NG_048255.1__10	28	TETRACYCLINE	tetO
557__tetO__NG_048265.1__11	28	TETRACYCLINE	tetO
557__tetO__NG_048261.1__12	28	TETRACYCLINE	tetO
557__tetO__NG_048267.1__13	28	TETRACYCLINE	tetO
557__tetO__NG_048266.1__14	28	TETRACYCLINE	tetO
191__otrA__NG_048027.1__1	29	TETRACYCLINE	otrA
